ticker,price,transaction_date,transaction_type,quantity,account_number,create_date
NFG,$1580.11,2019-04-17,buy,2588,110509314-X,2017-06-13 19:15:53
VMI,$1381.70,2015-02-16,buy,2333,476998765-X,2020-08-30 10:58:54
RH,$530.35,2016-11-19,buy,1722,486566365-7,2015-06-08 20:23:35
VNCE,$90.48,2020-09-10,buy,2283,706168235-3,2017-08-16 06:56:22
JFR,$1032.21,2016-10-22,buy,2747,848810880-X,2022-06-30 07:31:56
TIER,$1946.96,2019-10-20,buy,1609,331595858-0,2022-07-23 17:44:29
BIP,$1783.05,2022-06-18,buy,3029,454938934-6,2022-06-08 14:34:06
FPAY,$653.31,2020-12-04,sell,2339,010531515-X,2021-04-30 11:37:00
GUT^A,$1134.46,2017-05-29,buy,3064,667020323-3,2020-04-25 02:13:01
REX,$1503.59,2021-10-27,sell,4626,335732235-8,2022-05-02 16:41:24
ARA,$281.18,2015-07-18,sell,2250,492563549-2,2021-06-16 17:43:36
HVT,$565.58,2018-08-09,buy,4232,555206505-0,2018-06-09 03:11:51
EMD,$906.08,2015-08-24,buy,642,351907873-2,2015-06-15 16:48:24
VALE.P,$2168.39,2015-03-04,buy,4076,515868928-8,2018-02-18 20:17:39
MTP,$988.51,2017-10-10,sell,2164,749561266-5,2019-11-17 19:52:33
ITRI,$783.35,2019-10-19,buy,171,747666070-6,2017-07-23 17:58:35
NGVT,$1627.81,2018-10-13,buy,36,482799065-4,2020-05-17 01:11:22
PBFX,$524.47,2021-05-02,buy,935,760733718-0,2021-11-03 17:22:40
HQH,$2298.89,2017-07-23,buy,124,780310610-2,2019-05-13 13:01:28
OMNT,$468.98,2015-12-07,sell,4492,989593185-9,2017-04-08 00:55:33
PSB^T,$439.26,2021-06-18,buy,1051,185095517-4,2019-02-01 09:57:50
NXTD,$2289.28,2017-09-03,buy,15,472562840-9,2018-10-08 21:02:08
IMED,$1644.27,2015-04-17,buy,1225,457582113-6,2018-06-19 22:40:34
AIMT,$1293.13,2022-04-25,sell,4160,418335137-5,2019-05-09 03:33:02
GBLI,$740.36,2018-10-24,buy,4379,495680401-6,2020-03-18 06:06:27
ANY,$1177.25,2020-07-04,buy,1535,025895924-X,2016-10-17 22:39:02
HRMN,$2263.67,2015-03-02,sell,390,826877685-4,2020-04-14 10:55:33
CLMT,$1539.13,2018-04-06,sell,4032,528849457-6,2019-08-21 21:04:00
AQB,$1050.04,2019-09-04,sell,2127,093442401-2,2021-05-07 06:28:16
SBCF,$1584.69,2019-01-29,buy,364,775085556-4,2015-07-07 12:51:09
VNDA,$1238.83,2016-09-20,buy,250,283196725-2,2015-07-06 01:49:46
FAD,$1067.81,2020-06-11,buy,520,781264733-1,2020-10-13 03:45:22
GOODO,$981.20,2020-06-23,buy,4955,830523892-X,2018-07-06 15:57:05
IRDMB,$2029.97,2018-01-20,buy,4068,347276594-1,2016-06-19 02:52:03
FEM,$1063.24,2018-12-20,sell,2986,451405516-6,2021-03-26 04:51:57
LEDS,$862.44,2018-05-02,buy,453,740663560-5,2018-02-14 23:13:29
SMBK,$1040.91,2021-08-03,buy,4291,412870060-6,2022-03-21 14:27:41
ASTE,$825.07,2022-07-13,sell,4253,668882271-7,2019-08-02 05:53:06
LEJU,$380.26,2019-06-04,buy,1094,654780889-0,2021-02-28 19:07:04
WTM,$1075.14,2019-03-03,buy,1701,780428677-5,2016-04-02 23:30:58
NWBI,$512.57,2017-07-31,sell,3496,977672367-5,2015-05-24 21:52:27
SENEB,$2224.68,2015-09-23,sell,2103,689266745-7,2021-09-28 23:40:42
JPM^F,$1758.76,2017-04-10,buy,1320,158157231-X,2020-06-05 22:51:00
SOI,$1081.01,2016-03-01,buy,3250,246570626-8,2020-05-14 19:55:18
PMBC,$2245.76,2020-11-13,sell,4930,535844348-7,2019-10-10 04:58:08
HOPE,$411.36,2016-09-28,sell,2146,304108796-0,2021-11-28 02:50:54
MPCT,$878.85,2017-05-02,sell,4277,961389274-5,2018-12-17 05:17:32
THC,$1792.37,2020-04-13,sell,1804,556657225-1,2021-02-19 18:48:37
TY,$2062.85,2020-07-09,sell,2564,696540411-6,2016-04-14 19:29:25
PAAC,$368.54,2021-08-12,sell,3433,979106962-X,2018-08-31 14:27:03
AIV^A,$1447.98,2016-06-16,sell,3353,307352037-6,2021-05-26 16:20:20
LGF.A,$1051.63,2020-09-12,buy,2889,473635133-0,2017-02-27 11:03:46
CVNA,$2347.61,2021-03-10,sell,3148,576875952-2,2018-05-08 05:32:04
QTM,$504.25,2022-07-01,sell,4808,556709449-3,2020-04-25 07:56:54
EVGN,$1455.94,2020-09-17,sell,186,482878786-0,2022-06-12 14:57:44
QTM,$2117.26,2020-12-27,sell,4668,903317506-1,2016-08-07 18:34:12
TGA,$679.38,2016-06-06,buy,1595,012636504-0,2021-01-09 03:54:51
NBTB,$1973.38,2016-06-27,buy,212,010795903-8,2015-07-17 01:37:06
PCQ,$1178.32,2015-01-04,buy,4006,917612806-7,2017-08-26 21:02:12
FUND,$2298.88,2019-04-27,buy,2029,789224241-4,2019-02-07 17:01:46
KIO,$1307.55,2016-06-14,sell,609,755061472-5,2016-04-13 06:01:18
PBF,$1372.76,2015-03-20,buy,2996,469878095-0,2016-09-11 10:31:24
ELY,$1331.50,2018-12-25,sell,1860,867490125-5,2021-02-14 06:56:29
USLM,$281.69,2019-12-26,sell,3493,380887708-1,2017-04-24 18:40:01
SHIP,$645.62,2016-02-01,buy,3645,266617535-9,2022-02-02 16:21:18
CLACU,$1522.93,2020-02-03,sell,1674,802806599-6,2016-06-10 21:54:37
OFG^B,$1043.17,2016-05-14,sell,1763,306230058-2,2018-08-31 07:50:23
RNR,$1990.18,2021-05-29,sell,2604,635476219-8,2019-05-08 05:05:41
TRIB,$1499.89,2019-10-05,buy,377,452791773-0,2015-03-06 13:18:48
SNI,$896.29,2021-06-12,buy,3181,676853880-2,2016-09-03 12:05:41
LCAHU,$12.70,2015-12-15,sell,4382,156183463-7,2016-10-04 17:45:29
STNG,$2342.38,2015-12-20,buy,1210,341609976-1,2022-04-01 19:05:32
CLF,$2414.45,2018-04-29,buy,4384,559653713-6,2018-05-27 15:21:46
HSY,$1336.80,2022-02-03,sell,136,933720388-X,2021-02-02 20:03:02
WALA,$1300.77,2020-08-24,buy,4509,715040727-7,2020-11-29 15:33:00
ICLN,$1086.90,2017-10-19,buy,4558,319842406-2,2022-02-02 08:54:52
ACNB,$462.50,2016-04-14,sell,3788,728154626-2,2018-07-05 18:23:01
KR,$1343.01,2017-05-18,sell,2032,316499637-3,2022-05-01 06:37:12
CLB,$1882.80,2016-01-02,buy,182,645174048-9,2019-07-21 02:51:06
TPVZ,$507.12,2020-12-28,buy,526,028680390-9,2017-07-26 23:00:01
CPAH,$1208.92,2017-12-26,sell,3161,417324111-9,2022-01-14 05:54:33
GENC,$1502.40,2016-06-06,buy,116,172087192-2,2022-07-18 15:40:32
GENC,$1920.30,2019-07-12,buy,1038,112483241-6,2020-08-09 07:50:37
EBAYL,$475.45,2017-09-26,buy,355,066497225-X,2018-02-08 13:49:43
ALXN,$2068.59,2021-09-12,buy,1240,016246949-7,2015-11-08 16:19:24
FCEF,$1265.62,2018-08-24,buy,2156,380719558-0,2016-07-04 22:37:51
WBS^E,$92.71,2019-03-12,buy,3495,692014332-1,2016-07-25 11:34:11
HMC,$1664.99,2021-04-15,sell,3759,654216252-6,2017-04-29 10:35:52
INTL,$2337.75,2020-08-14,buy,380,856139725-X,2019-04-23 01:55:44
K,$215.32,2021-11-07,sell,2423,921836871-0,2019-07-07 10:05:56
MQY,$2350.54,2017-02-08,buy,112,004654894-7,2015-04-13 08:04:30
FFBCW,$2209.22,2017-03-04,sell,433,782020113-4,2017-03-07 10:41:24
DXTR,$123.21,2020-09-12,sell,3858,031290866-0,2016-05-12 15:15:40
PNC^Q,$1008.83,2017-08-16,sell,372,289452627-X,2015-11-27 11:56:44
PEG,$189.10,2017-02-09,buy,3197,483332908-5,2018-11-01 23:45:51
MBI,$1038.45,2019-10-14,buy,4753,341991585-3,2022-04-17 21:24:08
MORE          ,$1133.23,2019-10-15,buy,3257,403090598-6,2016-02-12 11:12:41
BF.A,$1591.05,2018-09-29,sell,2071,100811132-5,2021-10-03 10:13:04
AHT^G,$884.58,2022-04-24,sell,4058,305954956-7,2019-03-25 15:56:00
MTSL,$2287.97,2020-05-02,sell,1685,187459504-6,2018-07-26 06:26:19
DS,$229.12,2019-07-14,sell,3179,096041313-8,2018-10-13 11:29:47
VMC,$2428.26,2021-05-11,sell,422,418546411-8,2019-03-24 20:28:22
AXP,$1089.65,2020-07-08,sell,2564,555877668-4,2022-01-20 13:44:57
ANIP,$1244.51,2021-01-29,sell,3646,432287038-4,2021-04-27 08:42:43
CMRE^D,$2119.22,2018-01-22,sell,2474,717911834-6,2016-03-22 02:00:23
BAC^D,$1207.29,2018-09-19,sell,1927,353093928-5,2018-09-28 00:42:18
GPX,$403.60,2019-06-16,sell,1597,078960095-1,2016-12-19 18:59:21
SYNL,$24.79,2018-01-05,buy,3432,109299894-2,2018-12-23 19:01:39
USAC,$1912.40,2018-07-18,sell,3338,713397665-X,2021-10-14 05:33:30
BBT^H,$1353.38,2018-11-05,buy,4621,717138355-5,2018-01-07 12:26:15
SELB,$1332.94,2019-03-06,sell,1218,182470782-7,2018-08-09 21:00:05
AYI,$1823.18,2022-07-11,sell,2084,338548945-8,2016-01-16 12:02:34
MMI,$48.03,2020-06-13,sell,1513,687181265-2,2019-04-07 22:45:23
CIE,$475.76,2021-07-18,sell,1329,770851180-1,2017-07-16 06:28:23
PID,$2357.34,2020-08-18,buy,2771,334068344-1,2019-11-24 12:37:29
EWZS,$1049.95,2020-02-18,sell,1468,224184311-3,2022-06-19 12:10:00
GJH,$1458.70,2015-05-03,buy,863,381635981-7,2020-08-07 17:46:08
NBTB,$1842.99,2015-04-17,sell,3424,056316178-7,2018-10-19 23:22:20
COLM,$475.87,2017-07-20,buy,3925,682294498-2,2016-10-03 00:32:43
DEA,$929.47,2021-10-04,sell,4179,493501501-2,2020-10-26 10:30:47
SNPS,$1398.06,2018-11-17,sell,804,499218161-9,2022-04-03 14:26:52
HYXE,$1401.75,2018-10-24,buy,2467,797587670-4,2020-07-26 08:30:53
EPR^E,$952.04,2015-05-04,buy,3634,635813018-8,2019-07-17 07:33:04
VKTX,$397.55,2018-10-05,buy,2367,305567624-6,2015-04-19 19:43:24
GIB,$1770.39,2019-10-21,buy,837,029836583-9,2020-01-21 02:15:33
DTUS,$606.09,2017-06-08,sell,3627,931314730-0,2016-06-27 06:40:20
PCG,$1274.95,2016-07-11,buy,2789,521311059-2,2015-09-06 21:31:18
ETFC,$2271.80,2017-07-02,buy,2549,226926013-9,2019-06-17 22:48:03
MDP,$1043.03,2016-08-24,buy,486,986381104-1,2019-07-28 13:43:30
NWS,$1848.25,2015-10-08,buy,3037,226817242-2,2020-12-07 04:07:10
GM.WS.B,$2452.36,2020-09-05,buy,1297,341574761-1,2018-01-06 09:24:42
RNR,$233.03,2017-01-12,sell,2231,097848082-1,2016-05-14 20:45:48
SENEA,$1587.11,2017-08-02,sell,1015,629102410-1,2016-08-04 02:18:40
UDBI,$1684.79,2018-04-13,buy,4873,216718126-4,2019-06-19 20:14:37
BYFC,$488.90,2016-08-13,buy,210,732643539-1,2019-08-27 19:41:05
SLG^I,$753.69,2018-09-24,buy,2726,285510533-1,2016-04-24 01:55:36
NTNX,$537.73,2015-01-18,sell,738,904102759-9,2017-08-18 05:33:15
KONE,$315.02,2021-10-09,buy,3209,458669784-9,2015-01-21 04:53:42
MUSA,$1136.00,2019-12-07,buy,3566,558939711-1,2016-12-21 12:54:39
ARDM,$2167.69,2020-05-07,sell,4636,283668593-X,2020-07-18 01:32:51
CMCO,$103.91,2015-12-24,sell,3310,982134729-0,2015-07-14 17:14:47
DXC,$977.03,2020-11-13,buy,3118,752821440-X,2019-01-27 15:59:10
PCBK,$1083.54,2017-06-17,buy,612,734055965-5,2018-10-15 20:43:09
JAX,$127.60,2020-11-11,buy,19,953093465-3,2017-08-17 09:44:29
DSXN,$2025.37,2020-12-12,buy,1496,343267345-0,2016-01-01 21:48:46
GSHT,$1313.76,2021-04-08,buy,2797,704592757-6,2017-01-13 03:05:13
RMP,$1394.80,2017-11-20,sell,3480,965901557-7,2015-08-11 01:18:32
DD^A,$1257.15,2021-02-02,buy,721,867820783-3,2022-01-10 18:02:18
NWBI,$1613.49,2019-02-13,buy,4116,542291049-4,2022-03-28 08:03:51
PFBC,$2223.64,2017-10-16,buy,3868,247971198-6,2015-12-22 23:23:05
TIL,$1730.75,2019-12-22,buy,880,000851601-4,2020-03-22 17:15:04
BGNE,$1282.43,2016-10-08,sell,1094,955867076-6,2016-09-16 02:03:35
PRE^F,$283.72,2019-10-11,buy,2487,733913219-8,2021-10-26 10:06:44
NVAX,$2065.99,2016-01-21,buy,1641,055352703-7,2020-06-27 09:24:12
NSEC,$782.07,2018-07-19,buy,3113,218060566-8,2016-06-14 01:43:15
HQH,$1694.12,2015-02-24,sell,3855,472315704-2,2016-09-26 21:38:01
CME,$1020.33,2019-05-14,sell,486,914359408-5,2020-06-23 17:27:58
VPV,$2212.93,2018-12-10,buy,3381,964487359-9,2017-11-22 22:09:40
ANIK,$2443.69,2018-06-07,sell,337,937298426-4,2021-01-22 05:12:56
BKCC,$1999.68,2020-03-01,buy,4661,438136242-X,2018-04-15 02:10:36
RLJ,$1363.05,2015-11-20,buy,3574,462174264-7,2021-01-25 06:23:20
KYN,$2280.32,2015-12-26,sell,2977,545713311-7,2021-10-16 20:11:36
CIVBP,$214.79,2019-10-14,sell,2118,792134872-6,2020-07-08 10:46:54
PLD,$2143.10,2016-10-17,buy,983,301663495-3,2018-03-15 17:46:22
CYRX,$1955.80,2017-06-02,sell,3950,836979521-8,2020-07-25 00:05:28
SBAC,$2246.22,2016-04-07,buy,3155,605273678-X,2015-05-23 03:35:34
AIRT,$2138.47,2019-09-26,buy,1148,838462210-8,2021-06-13 02:32:53
SNDR,$496.29,2016-11-02,buy,3628,729375702-6,2017-09-05 11:04:06
AWRE,$2125.04,2017-03-08,sell,4573,115044809-1,2016-10-13 22:36:42
CLH,$1850.71,2018-03-17,buy,4328,698230924-X,2021-10-01 16:12:18
AXTA,$1560.19,2015-04-20,buy,3680,850836434-2,2020-02-02 16:25:25
FPI,$2266.16,2022-07-21,sell,771,849413264-4,2015-10-20 05:38:26
TCRD,$1221.81,2020-12-11,buy,2619,375536881-1,2020-09-03 20:51:59
STBA,$968.71,2018-02-10,sell,3112,858638365-1,2019-06-07 09:29:42
MSFG,$456.07,2018-06-14,buy,3068,432931940-3,2021-01-28 01:27:51
FNTEW,$2467.99,2022-07-03,sell,3408,505101911-0,2018-06-22 19:42:33
DSW,$1424.55,2019-02-08,sell,3323,465947203-5,2015-09-07 22:59:22
CUBI^F,$1099.77,2015-04-18,sell,4085,672724017-5,2018-11-16 01:09:21
GUT,$1600.85,2016-04-07,sell,3818,942679542-1,2015-11-03 05:36:51
CHK^D,$2070.20,2017-03-31,sell,1303,245155901-2,2015-06-01 09:12:04
AAPC,$2003.35,2016-11-19,sell,3462,469348455-5,2019-05-26 18:37:31
BTO,$993.76,2021-08-08,sell,1894,599564406-8,2018-08-03 00:24:09
BGC,$976.01,2017-05-10,sell,3947,350656972-4,2021-04-04 10:26:27
AMFW,$1784.53,2017-01-21,sell,3809,145022759-7,2019-12-05 18:04:18
NTRSP,$388.22,2016-01-20,buy,4126,472926682-X,2018-06-05 22:00:21
FRBA,$1852.07,2022-05-01,buy,2061,937972102-1,2021-09-11 17:09:35
ARR^B,$1103.06,2020-01-02,buy,4070,110555808-8,2015-02-16 04:56:05
JPM^B,$121.34,2015-06-18,buy,4363,535942258-0,2020-10-27 14:06:05
CVG,$1878.52,2020-04-20,sell,4148,687873336-7,2018-03-01 18:56:09
CXO,$687.63,2016-03-04,sell,730,900178588-3,2020-06-18 16:20:46
CIR,$1167.15,2020-05-16,sell,3744,601015314-X,2020-04-25 02:37:00
SOI,$1554.08,2018-08-09,sell,1810,876604347-6,2017-12-01 12:18:55
ONCS,$733.73,2019-02-27,sell,1291,980635814-7,2020-03-19 22:34:58
RRR,$499.49,2022-06-25,buy,1910,893588233-X,2018-02-19 23:13:01
GS^N,$2087.04,2015-04-29,buy,939,364432056-X,2022-06-30 19:44:20
MGR,$604.48,2018-05-19,sell,4871,211869855-0,2022-03-09 17:41:24
FNJN,$2353.61,2019-05-08,buy,3008,665932214-0,2016-06-21 00:30:16
AHT,$687.74,2022-05-07,sell,4565,686783554-6,2016-01-13 07:47:08
MBLY,$2269.31,2016-08-01,buy,4166,495760795-8,2019-02-13 22:23:45
VNCE,$806.22,2016-07-07,buy,4824,212208017-5,2022-03-23 01:16:43
INSW,$1378.64,2018-07-24,sell,4812,213660389-2,2015-05-16 10:08:17
CHSCO,$721.86,2016-02-23,buy,334,936027129-2,2017-04-20 04:08:34
XLNX,$1127.58,2020-08-18,sell,1292,245345322-X,2017-03-25 09:28:23
NUAN,$310.81,2017-03-12,buy,2134,092320215-3,2016-09-20 03:30:16
ASRV,$769.67,2019-11-13,buy,2663,575302705-9,2018-05-04 12:38:26
ENIA,$10.62,2021-10-21,buy,3230,209414272-8,2016-08-01 11:38:47
WAFDW,$1701.27,2016-02-11,buy,1379,771103550-0,2016-10-24 22:35:48
WRK,$1260.76,2015-07-18,buy,1785,244997815-1,2019-08-12 04:47:58
BJRI,$341.60,2018-10-02,buy,4752,590302311-8,2017-10-29 02:31:06
PZN,$1588.43,2021-08-29,sell,4371,554071102-5,2018-06-22 07:31:24
LTRX,$1372.56,2021-11-21,buy,3461,373903662-1,2021-04-01 14:45:34
DUKH,$1751.68,2021-11-13,buy,4383,467928539-7,2021-09-13 09:13:09
BCX,$2321.07,2020-08-01,buy,179,633982848-5,2022-03-27 10:35:14
SBRAP,$1668.42,2020-06-30,buy,3648,813988077-9,2016-03-22 02:04:19
EXPD,$2132.04,2018-01-25,sell,2622,992547181-8,2019-03-09 02:44:17
CBOE,$1452.72,2018-08-29,sell,4869,031258511-X,2022-05-11 14:42:27
BRO,$988.17,2018-11-17,sell,3475,339017357-9,2019-06-04 11:04:55
CZR,$303.37,2015-09-23,sell,2415,599599114-0,2020-01-04 21:01:46
FFA,$1315.72,2021-05-09,buy,1618,609035558-5,2018-08-07 20:06:45
HTH,$1308.20,2019-11-25,buy,1778,872229263-2,2015-03-24 13:14:37
GSH,$1910.49,2015-10-10,buy,3379,570159829-2,2016-08-23 02:39:23
QTS,$2227.99,2017-07-27,sell,2074,443321906-1,2020-08-29 07:13:02
STE,$779.25,2021-07-18,buy,1017,112928508-1,2021-02-10 18:10:58
JONE,$1054.19,2018-08-09,buy,1475,618862376-6,2017-04-01 05:50:37
SFR,$8.91,2016-12-19,sell,3471,160304231-8,2020-03-27 15:42:22
WRE,$1933.21,2016-05-09,sell,1741,164875265-9,2015-06-28 09:03:14
MHO^A,$1084.42,2018-02-16,sell,2188,989268885-6,2018-12-29 06:29:38
AJG,$1902.31,2021-11-07,buy,4032,026171209-8,2015-06-25 02:58:50
JOF,$2279.53,2022-02-02,sell,278,645109603-2,2021-01-18 07:24:53
JAG,$1733.27,2016-02-05,sell,2321,700766571-3,2019-01-05 11:26:45
PAHC,$1369.35,2018-04-17,sell,779,268854313-X,2018-07-09 19:40:51
PH,$554.30,2017-06-12,buy,2214,152997139-X,2019-04-03 09:31:26
AXP,$336.74,2019-11-05,buy,2769,961441591-6,2017-01-27 09:19:59
LKSD,$51.27,2015-09-15,buy,481,222217120-2,2017-03-14 13:37:32
CDTI,$1216.43,2021-10-30,buy,1519,305487208-4,2021-05-19 00:07:57
DS,$1752.06,2017-07-18,sell,1838,791904061-2,2015-10-21 13:49:13
AET,$1381.95,2015-06-06,sell,1873,635898500-0,2019-08-24 11:59:46
BNJ,$924.95,2017-06-07,buy,1695,366732950-4,2022-07-03 10:06:15
KMPA,$49.69,2021-08-25,buy,690,791947451-5,2020-06-28 00:07:16
OKSB,$2195.50,2018-11-20,buy,3010,238103929-5,2021-08-30 06:57:26
BOMN,$1878.21,2018-07-05,buy,3629,160782714-X,2018-11-15 01:21:07
FLKS,$2484.88,2015-04-30,sell,899,589699964-X,2020-03-01 10:29:46
MNK,$342.84,2016-08-06,sell,990,757602498-4,2015-11-24 16:10:30
PTR,$2207.68,2022-01-25,buy,3638,472549755-X,2020-08-06 00:51:21
NSTG,$1616.94,2017-12-07,buy,3742,914723853-4,2020-12-18 07:10:07
NIE,$1803.20,2019-03-20,buy,4019,562425565-9,2015-08-03 20:13:09
ENLK,$333.82,2022-04-22,sell,4974,363051794-3,2020-05-09 08:18:31
NUVA,$2150.97,2016-05-19,buy,2956,523588497-3,2016-11-10 03:11:13
TNP,$1330.86,2015-05-08,buy,3120,887858679-X,2022-04-13 14:29:12
MOD,$486.40,2017-12-21,sell,3516,310190279-7,2017-06-18 09:03:17
BPL,$1939.65,2015-09-23,buy,1224,174575635-3,2018-12-26 02:21:24
PSB^U,$578.63,2016-07-11,buy,36,595169780-8,2016-04-28 10:42:57
HNH,$1185.89,2021-02-13,sell,1018,306636012-1,2017-04-23 13:19:33
AGIO,$1448.13,2016-03-20,sell,3460,163170647-0,2016-01-05 15:00:50
LDR,$1374.36,2016-05-08,sell,3355,904813701-2,2017-01-20 20:30:59
UDR,$699.07,2021-04-20,sell,2906,519070844-6,2021-07-03 22:51:23
PSB^U,$179.78,2021-08-14,sell,2965,018223231-X,2022-05-21 06:50:31
ULTA,$548.65,2016-08-09,sell,2838,219590975-7,2020-03-12 07:49:38
ACIW,$1700.86,2015-11-18,buy,2183,840745611-X,2019-04-28 11:56:50
HOME,$1650.44,2017-07-18,sell,3992,256431951-3,2021-04-13 06:45:08
ABAX,$357.70,2022-04-30,buy,2671,103464114-X,2021-12-02 11:07:16
DISH,$2216.25,2017-05-09,buy,3517,753171588-0,2019-06-08 23:38:10
SGH,$652.62,2022-03-13,buy,2331,142078844-2,2019-03-13 03:13:15
FTRI,$794.63,2017-04-18,buy,283,831908338-9,2016-01-29 10:16:32
PPP,$1759.55,2017-07-06,sell,783,257017734-2,2017-06-07 05:59:26
HOLI,$46.58,2018-11-02,sell,3421,700218008-8,2021-03-11 00:24:39
ICAD,$2024.37,2022-05-27,sell,1066,794179005-X,2018-05-12 00:33:48
FCB,$2218.97,2018-07-21,sell,2531,929621476-9,2018-03-09 15:39:33
HPT,$2199.10,2018-04-25,sell,3552,114644614-4,2019-05-12 13:31:07
AOBC,$1730.36,2015-10-08,buy,2663,085056353-4,2018-03-22 03:15:29
DCI,$241.20,2021-03-01,sell,2487,115824617-X,2015-08-27 20:52:00
ATRS,$1282.28,2015-12-20,sell,3665,360136662-2,2015-09-23 04:24:15
CAR,$2197.02,2020-09-30,sell,4954,500130445-8,2015-01-02 15:51:28
HMY,$2333.74,2019-05-19,sell,4569,125463139-9,2016-10-18 10:23:21
FCFS,$891.81,2018-06-21,buy,1912,549344889-0,2019-04-15 07:40:11
ABT,$1523.20,2017-02-07,buy,4878,171632212-X,2021-09-25 06:44:12
PIE,$429.87,2021-06-16,sell,749,817466322-3,2021-03-27 17:46:25
WAGE,$2216.50,2015-10-11,buy,1208,962200923-9,2015-06-20 18:29:08
SUP,$1516.41,2015-10-24,buy,551,303693761-7,2018-11-22 02:31:24
HMY,$410.59,2015-07-13,sell,248,347064068-8,2022-04-21 09:50:47
HRMNW,$70.64,2016-04-11,sell,816,065561278-5,2018-08-10 19:04:59
CERS,$234.08,2017-10-03,buy,2425,817458783-7,2015-07-04 03:27:36
FNK,$1521.57,2021-08-28,buy,839,314572967-5,2017-03-19 07:37:19
QCLN,$497.94,2021-05-05,buy,3127,874609342-7,2019-07-25 04:41:46
VDTH,$1057.28,2015-06-12,buy,2104,468130920-6,2016-07-21 04:37:57
ILG,$1657.50,2020-07-10,sell,1765,197220719-9,2021-09-25 22:42:16
CEZ,$106.13,2022-04-19,buy,4354,802150058-1,2020-12-07 12:17:56
GLOP^A,$131.68,2018-03-10,buy,2589,250224173-1,2017-09-16 08:56:12
AIRR,$2396.16,2018-08-27,buy,3830,597637256-2,2016-02-12 03:42:14
FRC^G,$1908.84,2018-07-01,buy,1561,140723509-5,2020-01-07 09:56:19
WFC^O,$537.17,2020-04-19,sell,4509,781705612-9,2016-02-26 02:34:40
ISP,$497.90,2019-12-23,sell,676,324327022-7,2015-07-24 10:45:38
FRTA,$1575.49,2017-12-08,buy,4810,121677767-5,2020-06-24 18:46:17
ITEK,$1539.16,2015-04-30,buy,1035,804513249-3,2015-09-28 17:13:43
LINC,$1429.99,2018-08-30,buy,3448,815261212-X,2020-07-05 06:42:33
AIA,$521.35,2021-03-04,sell,218,809550552-8,2019-04-02 13:36:06
PRMW,$1520.67,2015-02-08,sell,320,767906533-0,2016-02-29 13:04:38
TICCL,$79.47,2016-10-10,buy,2893,409372798-8,2015-12-08 06:22:14
ETJ,$1293.38,2018-08-19,buy,1702,688978209-7,2021-07-04 02:44:06
SSW^G,$841.48,2016-03-07,buy,3839,427107426-8,2022-06-20 08:59:22
